active_clients,local_steps,method,staleness,staleness_weight,step,time,train_loss
,1,AsyncSGD,8,0.1111111111111111,65,30,2.7835282176733016
,1,AsyncSGD,14,0.06666666666666667,66,31,2.775219264626503
,1,AsyncSGD,5,0.16666666666666666,67,31,2.7436096012592315
,1,AsyncSGD,5,0.16666666666666666,68,31,2.7021579295396805
,1,AsyncSGD,11,0.08333333333333333,69,33,2.692852622270584
,1,AsyncSGD,9,0.1,70,33,2.6806655824184418
,1,AsyncSGD,7,0.125,71,33,2.655506381392479
,1,AsyncSGD,5,0.16666666666666666,72,34,2.604278939962387
,1,AsyncSGD,5,0.16666666666666666,73,34,2.5705047279596327
,1,AsyncSGD,8,0.1111111111111111,74,35,2.5374030083417893
,1,AsyncSGD,3,0.25,75,35,2.483229896426201
,1,AsyncSGD,3,0.25,76,35,2.3931893944740295
,1,AsyncSGD,12,0.07692307692307693,77,36,2.382087716460228
,1,AsyncSGD,9,0.1,78,37,2.3535154104232787
,1,AsyncSGD,2,0.3333333333333333,79,37,2.26957311630249
,1,AsyncSGD,9,0.1,80,38,2.260464772582054
,1,AsyncSGD,5,0.16666666666666666,81,38,2.225724422931671
,1,AsyncSGD,12,0.07692307692307693,82,39,2.20479054749012
,1,AsyncSGD,9,0.1,83,39,2.1729543626308443
,1,AsyncSGD,9,0.1,84,41,2.1610179468989372
,1,AsyncSGD,7,0.125,85,41,2.1453440591692923
,1,AsyncSGD,7,0.125,86,41,2.1184767469763757
,1,AsyncSGD,5,0.16666666666666666,87,41,2.100238212943077
,1,AsyncSGD,8,0.1111111111111111,88,42,2.0965477615594863
,1,AsyncSGD,5,0.16666666666666666,89,42,2.0842517092823982
,1,AsyncSGD,4,0.2,90,42,2.056289482116699
,1,AsyncSGD,4,0.2,91,42,2.028028756380081
,1,AsyncSGD,11,0.08333333333333333,92,43,2.021072718501091
,1,AsyncSGD,8,0.1111111111111111,93,43,1.9801371693611145
,1,AsyncSGD,11,0.08333333333333333,94,44,1.9767575845122338
,1,AsyncSGD,7,0.125,95,45,1.9657425209879875
,1,AsyncSGD,6,0.14285714285714285,96,45,1.938287614285946
,1,AsyncSGD,6,0.14285714285714285,97,45,1.9177952721714973
,1,AsyncSGD,6,0.14285714285714285,98,45,1.9088501885533333
,1,AsyncSGD,5,0.16666666666666666,99,45,1.8869291052222252
,1,AsyncSGD,7,0.125,100,46,1.8725172951817513
,1,AsyncSGD,2,0.3333333333333333,101,46,1.844866743683815
,1,AsyncSGD,13,0.07142857142857142,102,47,1.8241122156381606
,1,AsyncSGD,7,0.125,103,47,1.806276060640812
,1,AsyncSGD,7,0.125,104,47,1.791926495730877
,1,AsyncSGD,7,0.125,105,47,1.7845225289463997
,1,AsyncSGD,6,0.14285714285714285,106,48,1.7498728096485139
,1,AsyncSGD,6,0.14285714285714285,107,48,1.739077177643776
,1,AsyncSGD,4,0.2,108,48,1.7180294275283814
,1,AsyncSGD,4,0.2,109,49,1.712279959022999
,1,AsyncSGD,15,0.0625,110,50,1.7027410835027694
,1,AsyncSGD,5,0.16666666666666666,111,50,1.6960332170128822
,1,AsyncSGD,5,0.16666666666666666,112,50,1.686023233830929
,1,AsyncSGD,4,0.2,113,50,1.666083489358425
,1,AsyncSGD,12,0.07692307692307693,114,51,1.6535512030124664
,1,AsyncSGD,7,0.125,115,51,1.642315348982811
,1,AsyncSGD,6,0.14285714285714285,116,51,1.5938127294182778
,1,AsyncSGD,6,0.14285714285714285,117,51,1.5899016752839088
,1,AsyncSGD,5,0.16666666666666666,118,51,1.5868058696389198
,1,AsyncSGD,16,0.058823529411764705,119,52,1.5796949967741967
,1,AsyncSGD,5,0.16666666666666666,120,52,1.5722807332873345
,1,AsyncSGD,5,0.16666666666666666,121,52,1.537344227731228
,1,AsyncSGD,10,0.09090909090909091,122,54,1.5198101490736007
,1,AsyncSGD,9,0.1,123,54,1.5052048936486244
,1,AsyncSGD,5,0.16666666666666666,124,55,1.4880553394556046
,1,AsyncSGD,5,0.16666666666666666,125,55,1.4726710498332978
,1,AsyncSGD,2,0.3333333333333333,126,55,1.4563885927200317
,1,AsyncSGD,10,0.09090909090909091,127,56,1.4499957293272019
,1,AsyncSGD,7,0.125,128,56,1.4442037716507912
,1,AsyncSGD,11,0.08333333333333333,129,57,1.44064349681139
,1,AsyncSGD,7,0.125,130,57,1.4340300798416137
,1,AsyncSGD,6,0.14285714285714285,131,57,1.4175642400979995
,1,AsyncSGD,10,0.09090909090909091,132,58,1.4030044004321098
,1,AsyncSGD,7,0.125,133,58,1.3880221500992775
